time	V(vb)	V(n002)
3.969848660789014e-003	2.288141e+000	-1.883969e-001
3.976824107217585e-003	2.303626e+000	-1.453100e-001
3.983799553646156e-003	2.319255e+000	-1.018210e-001
3.990775000074728e-003	2.335027e+000	-5.792993e-002
3.994262723289013e-003	2.342902e+000	-3.601427e-002
3.997750446503299e-003	2.350773e+000	-1.410759e-002
4.001238169717584e-003	2.358641e+000	7.790087e-003
4.004725892931871e-003	2.366505e+000	2.967878e-002
4.008213616146156e-003	2.374366e+000	5.155847e-002
4.011701339360442e-003	2.382223e+000	7.342918e-002
4.015189062574727e-003	2.390077e+000	9.529089e-002
4.023559598289012e-003	2.408953e+000	1.478404e-001
4.031930134003299e-003	2.427555e+000	1.996292e-001
4.040300669717584e-003	2.445883e+000	2.506573e-001
4.048671205431870e-003	2.463936e+000	3.009247e-001
4.057041741146155e-003	2.481715e+000	3.504315e-001
4.065412276860441e-003	2.499220e+000	3.991776e-001
4.073782812574726e-003	2.516450e+000	4.471630e-001
4.087733705431869e-003	2.544393e+000	5.249958e-001
4.101684598289011e-003	2.570433e+000	5.975255e-001
4.115635491146154e-003	2.594570e+000	6.647520e-001
4.129586384003296e-003	2.616804e+000	7.266754e-001
4.143537276860439e-003	2.637134e+000	7.832957e-001
4.157488169717581e-003	2.655561e+000	8.346128e-001
4.171439062574724e-003	2.672085e+000	8.806267e-001
4.197945759003295e-003	2.695881e+000	9.468319e-001
4.224452455431866e-003	2.710091e+000	9.862933e-001
4.250959151860437e-003	2.714713e+000	9.990111e-001
4.277465848289007e-003	2.709749e+000	9.849853e-001
4.303972544717578e-003	2.695198e+000	9.442158e-001
4.330479241146149e-003	2.671060e+000	8.767027e-001
4.356985937574720e-003	2.637334e+000	7.824458e-001
4.368844196503291e-003	2.619671e+000	7.331147e-001
4.380702455431863e-003	2.600824e+000	6.804994e-001
4.392560714360434e-003	2.580794e+000	6.246000e-001
4.404418973289004e-003	2.559582e+000	5.654165e-001
4.416277232217576e-003	2.537186e+000	5.029488e-001
4.428135491146147e-003	2.513607e+000	4.371970e-001
4.439993750074718e-003	2.488844e+000	3.681611e-001
4.446969196503290e-003	2.474029e+000	3.268670e-001
4.453944642931861e-003	2.459058e+000	2.851479e-001
4.460920089360432e-003	2.443932e+000	2.430037e-001
4.467895535789003e-003	2.428651e+000	2.004345e-001
4.474870982217574e-003	2.413214e+000	1.574402e-001
4.481846428646146e-003	2.397623e+000	1.140209e-001
4.488821875074717e-003	2.381876e+000	7.017650e-002
4.513235937574717e-003	2.326817e+000	-8.306802e-002
4.520908928646145e-003	2.309492e+000	-1.312693e-001
4.528581919717573e-003	2.292371e+000	-1.788929e-001
4.536254910789002e-003	2.275455e+000	-2.259387e-001
4.543927901860431e-003	2.258743e+000	-2.724067e-001
4.551600892931859e-003	2.242236e+000	-3.182970e-001
4.559273884003287e-003	2.225933e+000	-3.636096e-001
4.566946875074716e-003	2.209835e+000	-4.083444e-001
4.580200223289001e-003	2.182609e+000	-4.839767e-001
4.593453571503287e-003	2.156993e+000	-5.551145e-001
4.606706919717572e-003	2.132989e+000	-6.217577e-001
4.619960267931858e-003	2.110596e+000	-6.839064e-001
4.633213616146143e-003	2.089814e+000	-7.415605e-001
4.646466964360429e-003	2.070644e+000	-7.947200e-001
4.659720312574714e-003	2.053084e+000	-8.433850e-001
4.687622098288998e-003	2.023750e+000	-9.246070e-001
4.715523884003284e-003	2.005085e+000	-9.762142e-001
4.743425669717569e-003	1.997090e+000	-9.982066e-001
4.771327455431854e-003	1.999765e+000	-9.905843e-001
4.799229241146139e-003	2.013109e+000	-9.533472e-001
4.827131026860425e-003	2.037124e+000	-8.864953e-001
4.855032812574709e-003	2.071808e+000	-7.900286e-001
4.862705803646138e-003	2.082836e+000	-7.593636e-001
4.870378794717566e-003	2.094428e+000	-7.271320e-001
4.878051785788994e-003	2.106582e+000	-6.933337e-001
4.885724776860423e-003	2.119300e+000	-6.579688e-001
4.893397767931852e-003	2.132581e+000	-6.210374e-001
4.901070759003280e-003	2.146426e+000	-5.825392e-001
4.908743750074708e-003	2.160834e+000	-5.424745e-001
4.913626562574708e-003	2.170192e+000	-5.164502e-001
4.922694642931851e-003	2.188182e+000	-4.664185e-001
4.931762723288993e-003	2.206563e+000	-4.152983e-001
4.940830803646136e-003	2.225333e+000	-3.630896e-001
4.949898884003279e-003	2.244492e+000	-3.097923e-001
4.958966964360422e-003	2.264042e+000	-2.554066e-001
4.968035044717564e-003	2.283981e+000	-1.999323e-001
4.977103125074707e-003	2.304310e+000	-1.433696e-001
4.996634375074706e-003	2.348231e+000	-2.114527e-002
5.000000000000000e-003	2.355829e+000	-1.224647e-015
