time	V(g1)	I(R3)
3.264631026604753e-05	9.944148e-03	9.941809e-09
3.284859821247611e-05	9.753554e-03	9.751260e-09
3.305088615890468e-05	9.410725e-03	9.408511e-09
3.325317410533326e-05	8.915659e-03	8.913562e-09
3.345546205176184e-05	8.268358e-03	8.266412e-09
3.365774999819042e-05	7.468820e-03	7.467062e-09
3.376935714104757e-05	6.977605e-03	6.975963e-09
3.388096428390471e-05	6.458868e-03	6.457347e-09
3.399257142676185e-05	5.912606e-03	5.911215e-09
3.410417856961900e-05	5.338822e-03	5.337565e-09
3.421578571247615e-05	4.737513e-03	4.736399e-09
3.432739285533329e-05	4.108682e-03	4.107715e-09
3.443899999819044e-05	3.452327e-03	3.451515e-09
3.450177901604759e-05	3.078046e-03	3.077322e-09
3.456455803390473e-05	2.700460e-03	2.699825e-09
3.462733705176187e-05	2.319570e-03	2.319024e-09
3.469011606961902e-05	1.935374e-03	1.934919e-09
3.475289508747617e-05	1.547874e-03	1.547510e-09
3.481567410533331e-05	1.157069e-03	1.156797e-09
3.487845312319045e-05	7.629594e-04	7.627799e-10
3.502493749819046e-05	-1.566805e-04	-1.566436e-10
3.509469196247618e-05	-5.966942e-04	-5.965538e-10
3.516444642676189e-05	-1.033483e-03	-1.033240e-09
3.523420089104761e-05	-1.467047e-03	-1.466702e-09
3.530395535533332e-05	-1.897386e-03	-1.896939e-09
3.537370981961904e-05	-2.324500e-03	-2.323953e-09
3.544346428390475e-05	-2.748389e-03	-2.747742e-09
3.551321874819047e-05	-3.169053e-03	-3.168308e-09
3.563877678390476e-05	-3.916990e-03	-3.916068e-09
3.576433481961905e-05	-4.630112e-03	-4.629022e-09
3.588989285533334e-05	-5.308419e-03	-5.307170e-09
3.601545089104763e-05	-5.951911e-03	-5.950510e-09
3.614100892676192e-05	-6.560588e-03	-6.559044e-09
3.626656696247621e-05	-7.134451e-03	-7.132772e-09
3.639212499819050e-05	-7.673498e-03	-7.671693e-09
3.670602008747622e-05	-8.798900e-03	-8.796829e-09
3.701991517676194e-05	-9.552689e-03	-9.550441e-09
3.733381026604767e-05	-9.934866e-03	-9.932528e-09
3.764770535533339e-05	-9.945431e-03	-9.943090e-09
3.796160044461911e-05	-9.584383e-03	-9.582128e-09
3.827549553390484e-05	-8.851724e-03	-8.849641e-09
3.858939062319056e-05	-7.747452e-03	-7.745629e-09
3.871494865890484e-05	-7.215316e-03	-7.213619e-09
3.884050669461914e-05	-6.647775e-03	-6.646211e-09
3.896606473033342e-05	-6.044829e-03	-6.043407e-09
3.909162276604772e-05	-5.406478e-03	-5.405206e-09
3.921718080176200e-05	-4.732721e-03	-4.731607e-09
3.934273883747630e-05	-4.023559e-03	-4.022612e-09
3.946829687319058e-05	-3.278992e-03	-3.278220e-09
3.953805133747630e-05	-2.859867e-03	-2.859194e-09
3.960780580176202e-05	-2.437298e-03	-2.436725e-09
3.967756026604773e-05	-2.011286e-03	-2.010812e-09
3.974731473033345e-05	-1.581829e-03	-1.581457e-09
3.981706919461917e-05	-1.148928e-03	-1.148658e-09
3.988682365890488e-05	-7.125830e-04	-7.124153e-10
3.995657812319060e-05	-2.727938e-04	-2.727296e-10
4.020071874819060e-05	1.257813e-03	1.257517e-09
4.029139955176203e-05	1.825111e-03	1.824681e-09
4.038208035533347e-05	2.382066e-03	2.381506e-09
4.047276115890490e-05	2.928679e-03	2.927990e-09
4.056344196247633e-05	3.464948e-03	3.464133e-09
4.065412276604776e-05	3.990875e-03	3.989936e-09
4.074480356961919e-05	4.506459e-03	4.505399e-09
4.083548437319062e-05	5.011700e-03	5.010521e-09
4.097499330176205e-05	5.761768e-03	5.760412e-09
4.111450223033349e-05	6.455553e-03	6.454034e-09
4.125401115890492e-05	7.093055e-03	7.091387e-09
4.139352008747636e-05	7.674275e-03	7.672470e-09
4.153302901604779e-05	8.199213e-03	8.197284e-09
4.167253794461922e-05	8.667867e-03	8.665828e-09
4.181204687319065e-05	9.080240e-03	9.078104e-09
4.206316294461923e-05	9.621009e-03	9.618745e-09
4.231427901604781e-05	9.921722e-03	9.919388e-09
4.256539508747639e-05	9.982381e-03	9.980032e-09
4.281651115890496e-05	9.802983e-03	9.800677e-09
4.306762723033354e-05	9.383530e-03	9.381323e-09
4.331874330176212e-05	8.724022e-03	8.721969e-09
4.356985937319070e-05	7.824458e-03	7.822617e-09
4.368844196247642e-05	7.331147e-03	7.329422e-09
4.380702455176214e-05	6.804994e-03	6.803393e-09
4.392560714104786e-05	6.246000e-03	6.244531e-09
4.404418973033357e-05	5.654165e-03	5.652834e-09
4.416277231961929e-05	5.029488e-03	5.028305e-09
4.428135490890500e-05	4.371970e-03	4.370941e-09
4.439993749819072e-05	3.681611e-03	3.680744e-09
4.446969196247644e-05	3.268670e-03	3.267901e-09
4.453944642676216e-05	2.851479e-03	2.850808e-09
4.460920089104788e-05	2.430037e-03	2.429465e-09
4.467895535533359e-05	2.004345e-03	2.003873e-09
4.474870981961931e-05	1.574402e-03	1.574031e-09
4.481846428390502e-05	1.140209e-03	1.139940e-09
4.488821874819074e-05	7.017651e-04	7.015999e-10
4.503470312319074e-05	-2.180289e-04	-2.179776e-10
4.510445758747646e-05	-6.579313e-04	-6.577765e-10
4.517421205176217e-05	-1.094493e-03	-1.094235e-09
4.524396651604789e-05	-1.527714e-03	-1.527354e-09
4.531372098033361e-05	-1.957594e-03	-1.957133e-09
