time	V(g1)	V(n002)
2.481245647630906e-05	3.526936e-02	-2.628068e-01
2.486128460130906e-05	2.611415e-02	-1.583372e-01
2.491011272630906e-05	1.693435e-02	-5.657269e-02
2.495894085130906e-05	7.738609e-03	4.237358e-02
2.500776897630906e-05	-1.464412e-03	1.383996e-01
2.505659710130906e-05	-1.066605e-02	2.314143e-01
2.510542522630906e-05	-1.985766e-02	3.213378e-01
2.515425335130907e-05	-2.903057e-02	4.081015e-01
2.520308147630907e-05	-3.817616e-02	4.916480e-01
2.525190960130907e-05	-4.728583e-02	5.719311e-01
2.530073772630907e-05	-5.635098e-02	6.489157e-01
2.539839397630907e-05	-7.431371e-02	7.929034e-01
2.549605022630907e-05	-9.199674e-02	9.235470e-01
2.554487835130908e-05	-1.007125e-01	9.838904e-01
2.559370647630908e-05	-1.093335e-01	1.040949e+00
2.564253460130908e-05	-1.178516e-01	1.094759e+00
2.569136272630908e-05	-1.262588e-01	1.145367e+00
2.574019085130908e-05	-1.345471e-01	1.192829e+00
2.578901897630908e-05	-1.427088e-01	1.237207e+00
2.583784710130908e-05	-1.507362e-01	1.278573e+00
2.588667522630909e-05	-1.586218e-01	1.317006e+00
2.593550335130909e-05	-1.663580e-01	1.352590e+00
2.598433147630909e-05	-1.739377e-01	1.385418e+00
2.603315960130909e-05	-1.813536e-01	1.415586e+00
2.608198772630909e-05	-1.885989e-01	1.443198e+00
2.613081585130909e-05	-1.956667e-01	1.468360e+00
2.617964397630909e-05	-2.025503e-01	1.491183e+00
2.622847210130910e-05	-2.092433e-01	1.511783e+00
2.627730022630910e-05	-2.157394e-01	1.530276e+00
2.632612835130910e-05	-2.220324e-01	1.546781e+00
2.637495647630910e-05	-2.281165e-01	1.561420e+00
2.642378460130910e-05	-2.339858e-01	1.574315e+00
2.647261272630910e-05	-2.396349e-01	1.585587e+00
2.652144085130910e-05	-2.450585e-01	1.595359e+00
2.657026897630911e-05	-2.502515e-01	1.603751e+00
2.661909710130911e-05	-2.552089e-01	1.610883e+00
2.666792522630911e-05	-2.599262e-01	1.616872e+00
2.671675335130911e-05	-2.643988e-01	1.621832e+00
2.676558147630911e-05	-2.686225e-01	1.625874e+00
2.681440960130911e-05	-2.725934e-01	1.629107e+00
2.686323772630911e-05	-2.763079e-01	1.631633e+00
2.691206585130912e-05	-2.797622e-01	1.633550e+00
2.696089397630912e-05	-2.829532e-01	1.634951e+00
2.700972210130912e-05	-2.858779e-01	1.635924e+00
2.705855022630912e-05	-2.885336e-01	1.636549e+00
2.710737835130912e-05	-2.909177e-01	1.636902e+00
2.715620647630912e-05	-2.930280e-01	1.637053e+00
2.720503460130912e-05	-2.948625e-01	1.637085e+00
2.725386272630913e-05	-2.964195e-01	1.637080e+00
2.733146456782698e-05	-2.983201e-01	1.637067e+00
2.740906640934485e-05	-2.995094e-01	1.637054e+00
2.748666825086270e-05	-2.999877e-01	1.637041e+00
2.756427009238056e-05	-2.997547e-01	1.637028e+00
2.764187193389842e-05	-2.988106e-01	1.637015e+00
2.771947377541628e-05	-2.971554e-01	1.637002e+00
2.779707561693414e-05	-2.947890e-01	1.636989e+00
2.780928264818414e-05	-2.943533e-01	1.636987e+00
2.781233440599664e-05	-2.942417e-01	1.636986e+00
2.781309734544976e-05	-2.942136e-01	1.636986e+00
2.781462322435601e-05	-2.941572e-01	1.636986e+00
2.781500469408258e-05	-2.941431e-01	1.636986e+00
2.781510006151422e-05	-2.941396e-01	1.636986e+00
2.782909523210748e-05	-2.936093e-01	1.636976e+00
2.784309040270074e-05	-2.930563e-01	1.636950e+00
2.785708557329400e-05	-2.924808e-01	1.636909e+00
2.787108074388727e-05	-2.918827e-01	1.636851e+00
2.788507591448053e-05	-2.912620e-01	1.636778e+00
2.789907108507379e-05	-2.906186e-01	1.636689e+00
2.791306625566705e-05	-2.899527e-01	1.636585e+00
2.796189438066705e-05	-2.874545e-01	1.636065e+00
2.801072250566705e-05	-2.846859e-01	1.635230e+00
2.805955063066706e-05	-2.816494e-01	1.633999e+00
2.810837875566706e-05	-2.783477e-01	1.632289e+00
2.815720688066706e-05	-2.747841e-01	1.630008e+00
2.820603500566706e-05	-2.709618e-01	1.627059e+00
2.825486313066706e-05	-2.668845e-01	1.623342e+00
2.830369125566706e-05	-2.625561e-01	1.618750e+00
2.835251938066706e-05	-2.579806e-01	1.613172e+00
2.840134750566707e-05	-2.531622e-01	1.606495e+00
2.845017563066707e-05	-2.481056e-01	1.598603e+00
2.849900375566707e-05	-2.428154e-01	1.589375e+00
2.854783188066707e-05	-2.372968e-01	1.578691e+00
2.859666000566707e-05	-2.315548e-01	1.566430e+00
2.864548813066707e-05	-2.255948e-01	1.552467e+00
2.869431625566707e-05	-2.194226e-01	1.536680e+00
2.874314438066708e-05	-2.130438e-01	1.518948e+00
2.879197250566708e-05	-2.064646e-01	1.499148e+00
2.884080063066708e-05	-1.996910e-01	1.477164e+00
2.888962875566708e-05	-1.927294e-01	1.452877e+00
2.893845688066708e-05	-1.855865e-01	1.426175e+00
2.898728500566708e-05	-1.782689e-01	1.396949e+00
2.903611313066708e-05	-1.707835e-01	1.365094e+00
2.908494125566709e-05	-1.631374e-01	1.330510e+00
2.913376938066709e-05	-1.553378e-01	1.293102e+00
2.918259750566709e-05	-1.473919e-01	1.252783e+00
2.923142563066709e-05	-1.393074e-01	1.209472e+00
2.928025375566709e-05	-1.310917e-01	1.163093e+00
2.932908188066709e-05	-1.227527e-01	1.113583e+00
2.937791000566709e-05	-1.142981e-01	1.060881e+00
2.942673813066710e-05	-1.057359e-01	1.004939e+00
2.952439438066710e-05	-8.832120e-02	8.831844e-01
2.962205063066710e-05	-7.057407e-02	7.481143e-01
2.971970688066710e-05	-5.256132e-02	5.996876e-01
2.976853500566710e-05	-4.347648e-02	5.204993e-01
2.981736313066711e-05	-3.435073e-02	4.380346e-01
2.986619125566711e-05	-2.519265e-02	3.523374e-01
2.991501938066711e-05	-1.601086e-02	2.634634e-01
2.996384750566711e-05	-6.813999e-03	1.714794e-01
3.001267563066711e-05	2.389275e-03	7.646360e-02
3.006150375566711e-05	1.159030e-02	-2.149441e-02
3.011033188066711e-05	2.078042e-02	-1.222937e-01
3.015916000566712e-05	2.995097e-02	-2.258224e-01
3.020798813066712e-05	3.909335e-02	-3.319575e-01
3.025681625566712e-05	4.819892e-02	-4.405652e-01
3.035447250566712e-05	6.626546e-02	-6.646114e-01
3.050095688066713e-05	9.287662e-02	-1.015296e+00
3.064744125566713e-05	1.187016e-01	-1.379086e+00
3.079392563066713e-05	1.435217e-01	-1.750400e+00
3.094041000566714e-05	1.671269e-01	-2.123132e+00
3.108689438066714e-05	1.893173e-01	-2.490807e+00
3.123337875566715e-05	2.099051e-01	-2.846746e+00
3.137986313066715e-05	2.287161e-01	-3.184246e+00
3.152634750566716e-05	2.455909e-01	-3.496760e+00
