time	V(g1)	V(n002)
3.224173437319038e-05	1.480294e-01	-1.922275e+00
3.232543973033323e-05	1.490988e-01	-1.938264e+00
3.240914508747610e-05	1.497547e-01	-1.947708e+00
3.249285044461896e-05	1.499972e-01	-1.950605e+00
3.257655580176181e-05	1.498261e-01	-1.946957e+00
3.266026115890467e-05	1.492416e-01	-1.936763e+00
3.274396651604754e-05	1.482436e-01	-1.920023e+00
3.282767187319039e-05	1.468322e-01	-1.896737e+00
3.293927901604754e-05	1.442702e-01	-1.854472e+00
3.305088615890468e-05	1.410483e-01	-1.802923e+00
3.316249330176183e-05	1.371664e-01	-1.742091e+00
3.327410044461898e-05	1.326245e-01	-1.671975e+00
3.338570758747613e-05	1.274227e-01	-1.592577e+00
3.349731473033327e-05	1.215609e-01	-1.503895e+00
3.360892187319042e-05	1.150392e-01	-1.405930e+00
3.370657812319042e-05	1.088532e-01	-1.314727e+00
3.380423437319042e-05	1.023228e-01	-1.220679e+00
3.390189062319042e-05	9.544794e-02	-1.123789e+00
3.399954687319043e-05	8.822869e-02	-1.024055e+00
3.409720312319043e-05	8.066502e-02	-9.214783e-01
3.419485937319043e-05	7.275694e-02	-8.160578e-01
3.429251562319044e-05	6.450444e-02	-7.077941e-01
3.436227008747615e-05	5.847910e-02	-6.306781e-01
3.443202455176187e-05	5.237124e-02	-5.539775e-01
3.450177901604759e-05	4.618086e-02	-4.776924e-01
3.457153348033330e-05	3.990796e-02	-4.018228e-01
3.464128794461902e-05	3.355254e-02	-3.263686e-01
3.471104240890473e-05	2.711461e-02	-2.513300e-01
3.478079687319045e-05	2.059415e-02	-1.767067e-01
3.482962499819045e-05	1.602681e-02	-1.254385e-01
3.487845312319045e-05	1.144439e-02	-7.475001e-02
3.492728124819045e-05	6.851197e-03	-2.469461e-02
3.497610937319045e-05	2.251554e-03	2.467699e-02
3.502493749819046e-05	-2.350208e-03	7.331681e-02
3.507376562319046e-05	-6.949757e-03	1.211796e-01
3.512259374819046e-05	-1.154277e-02	1.682231e-01
3.522024999819046e-05	-2.069188e-02	2.596969e-01
3.531790624819046e-05	-2.976312e-02	3.474564e-01
3.541556249819047e-05	-3.872233e-02	4.312661e-01
3.556204687319047e-05	-5.187749e-02	5.491710e-01
3.570853124819048e-05	-6.459350e-02	6.573148e-01
3.585501562319048e-05	-7.676271e-02	7.554504e-01
3.600149999819048e-05	-8.828212e-02	8.435200e-01
