time	V(n002)	I(R6)
3.701991517676194e-05	1.018417e-01	2.166845e-05
3.733381026604767e-05	1.057090e-01	2.249128e-05
3.764770535533339e-05	1.057030e-01	2.248999e-05
3.796160044461911e-05	1.018236e-01	2.166460e-05
3.827549553390484e-05	9.407090e-02	2.001508e-05
3.858939062319056e-05	8.244486e-02	1.754146e-05
3.871494865890484e-05	7.684226e-02	1.634942e-05
3.884050669461914e-05	7.085553e-02	1.507564e-05
3.896606473033342e-05	6.448468e-02	1.372014e-05
3.909162276604772e-05	5.772971e-02	1.228292e-05
3.921718080176200e-05	5.059061e-02	1.076396e-05
3.934273883747630e-05	4.306740e-02	9.163276e-06
3.946829687319058e-05	3.516006e-02	7.480864e-06
3.953805133747630e-05	3.069915e-02	6.531734e-06
3.960780580176202e-05	2.619622e-02	5.573664e-06
3.967756026604773e-05	2.165128e-02	4.606656e-06
3.974731473033345e-05	1.706433e-02	3.630709e-06
3.981706919461917e-05	1.243537e-02	2.645823e-06
3.988682365890488e-05	7.764394e-03	1.651999e-06
3.995657812319060e-05	3.051407e-03	6.492355e-07
4.020071874819060e-05	-1.339572e-02	-2.850154e-06
4.029139955176203e-05	-1.951007e-02	-4.151078e-06
4.038208035533347e-05	-2.552026e-02	-5.429844e-06
4.047276115890490e-05	-3.142632e-02	-6.686452e-06
4.056344196247633e-05	-3.722824e-02	-7.920901e-06
4.065412276604776e-05	-4.292601e-02	-9.133193e-06
4.074480356961919e-05	-4.851964e-02	-1.032333e-05
4.083548437319062e-05	-5.400912e-02	-1.149130e-05
4.097499330176205e-05	-6.217684e-02	-1.322911e-05
4.111450223033349e-05	-6.973450e-02	-1.483713e-05
4.125401115890492e-05	-7.668210e-02	-1.631534e-05
4.139352008747636e-05	-8.301965e-02	-1.766375e-05
4.153302901604779e-05	-8.874714e-02	-1.888237e-05
4.167253794461922e-05	-9.386458e-02	-1.997119e-05
4.181204687319065e-05	-9.837197e-02	-2.093021e-05
4.206316294461923e-05	-1.042389e-01	-2.217849e-05
4.231427901604781e-05	-1.074569e-01	-2.286316e-05
4.256539508747639e-05	-1.080259e-01	-2.298424e-05
4.281651115890496e-05	-1.059461e-01	-2.254172e-05
4.306762723033354e-05	-1.012173e-01	-2.153559e-05
4.331874330176212e-05	-9.383958e-02	-1.996587e-05
4.356985937319070e-05	-8.381294e-02	-1.783254e-05
4.368844196247642e-05	-7.834583e-02	-1.666933e-05
4.380702455176214e-05	-7.253513e-02	-1.543301e-05
4.392560714104786e-05	-6.638085e-02	-1.412358e-05
4.404418973033357e-05	-5.988298e-02	-1.274106e-05
4.416277231961929e-05	-5.304152e-02	-1.128543e-05
4.428135490890500e-05	-4.585648e-02	-9.756699e-06
4.439993749819072e-05	-3.832786e-02	-8.154864e-06
4.446969196247644e-05	-3.383744e-02	-7.199455e-06
4.453944642676216e-05	-2.930874e-02	-6.235901e-06
4.460920089104788e-05	-2.474176e-02	-5.264204e-06
4.467895535533359e-05	-2.013650e-02	-4.284362e-06
4.474870981961931e-05	-1.549297e-02	-3.296376e-06
4.481846428390502e-05	-1.081116e-02	-2.300247e-06
4.488821874819074e-05	-6.091071e-03	-1.295973e-06
4.503470312319074e-05	3.783800e-03	8.050638e-07
4.510445758747646e-05	8.493638e-03	1.807157e-06
4.517421205176217e-05	1.316013e-02	2.800027e-06
4.524396651604789e-05	1.778327e-02	3.783673e-06
4.531372098033361e-05	2.236306e-02	4.758097e-06
4.538347544461933e-05	2.689950e-02	5.723297e-06
4.545322990890504e-05	3.139259e-02	6.679274e-06
4.552298437319076e-05	3.584233e-02	7.626028e-06
4.564854240890504e-05	4.372599e-02	9.303402e-06
4.577410044461934e-05	5.122220e-02	1.089834e-05
4.589965848033362e-05	5.833097e-02	1.241084e-05
4.602521651604792e-05	6.505230e-02	1.384091e-05
4.615077455176220e-05	7.138618e-02	1.518855e-05
4.627633258747650e-05	7.733262e-02	1.645375e-05
4.640189062319078e-05	8.289161e-02	1.763651e-05
4.671578571247651e-05	9.438864e-02	2.008269e-05
4.702968080176223e-05	1.020124e-01	2.170477e-05
4.734357589104795e-05	1.057629e-01	2.250275e-05
4.765747098033367e-05	1.056401e-01	2.247662e-05
4.797136606961940e-05	1.016441e-01	2.162640e-05
4.828526115890512e-05	9.377480e-02	1.995208e-05
