time	V(emisor)	V(vb)
2.588710267931900e-03	-5.232437e-01	-5.315480e-01
2.602661160789043e-03	-5.942335e-01	-6.036645e-01
2.616612053646186e-03	-6.599693e-01	-6.704436e-01
2.630562946503328e-03	-7.204512e-01	-7.318854e-01
2.644513839360471e-03	-7.756791e-01	-7.879899e-01
2.658464732217614e-03	-8.256531e-01	-8.387570e-01
2.672415625074756e-03	-8.703731e-01	-8.841867e-01
2.698922321503327e-03	-9.343400e-01	-9.491689e-01
2.725429017931897e-03	-9.720209e-01	-9.874478e-01
2.751935714360468e-03	-9.834158e-01	-9.990236e-01
2.778442410789039e-03	-9.685247e-01	-9.838962e-01
2.804949107217610e-03	-9.273476e-01	-9.420656e-01
2.831455803646181e-03	-8.598846e-01	-8.735318e-01
2.857962500074752e-03	-7.661355e-01	-7.782948e-01
2.869820759003323e-03	-7.172175e-01	-7.286005e-01
2.881679017931894e-03	-6.651006e-01	-6.756564e-01
2.893537276860465e-03	-6.097846e-01	-6.194625e-01
2.905395535789037e-03	-5.512698e-01	-5.600189e-01
2.917253794717608e-03	-4.895559e-01	-4.973256e-01
2.929112053646179e-03	-4.246430e-01	-4.313825e-01
2.940970312574750e-03	-3.565312e-01	-3.621897e-01
2.947945759003322e-03	-3.158109e-01	-3.208231e-01
2.954921205431893e-03	-2.746856e-01	-2.790451e-01
2.961896651860464e-03	-2.331553e-01	-2.368557e-01
2.968872098289035e-03	-1.912201e-01	-1.942549e-01
2.975847544717607e-03	-1.488799e-01	-1.512427e-01
2.982822991146178e-03	-1.061347e-01	-1.078192e-01
2.989798437574749e-03	-6.298461e-02	-6.398424e-02
2.999564062574749e-03	-2.676571e-03	-2.719051e-03
3.003749330431891e-03	2.322952e-02	2.359820e-02
3.007934598289035e-03	4.907435e-02	4.985321e-02
3.012119866146177e-03	7.485790e-02	7.604597e-02
3.016305134003320e-03	1.005802e-01	1.021765e-01
3.020490401860463e-03	1.262412e-01	1.282448e-01
3.024675669717606e-03	1.518409e-01	1.542508e-01
3.028860937574748e-03	1.773794e-01	1.801946e-01
3.038626562574748e-03	2.368837e-01	2.406432e-01
3.048392187574748e-03	2.949622e-01	2.996435e-01
3.058157812574748e-03	3.516149e-01	3.571954e-01
3.067923437574747e-03	4.068420e-01	4.132989e-01
