time	V(emisor)	V(n003)
2.064156696503340e-03	2.075109e+00	3.916804e-01
2.073224776860483e-03	2.125855e+00	4.431156e-01
2.082292857217626e-03	2.175447e+00	4.933687e-01
2.091360937574768e-03	2.223885e+00	5.424396e-01
2.101126562574768e-03	2.273653e+00	5.928552e-01
2.106009375074768e-03	2.297724e+00	6.172377e-01
2.110892187574768e-03	2.321223e+00	6.410394e-01
2.115775000074768e-03	2.344127e+00	6.642376e-01
2.120657812574768e-03	2.366415e+00	6.868107e-01
2.125540625074768e-03	2.388065e+00	7.087375e-01
2.130423437574767e-03	2.409056e+00	7.299972e-01
2.135306250074767e-03	2.429369e+00	7.505698e-01
2.145071875074767e-03	2.467884e+00	7.895771e-01
2.154837500074767e-03	2.503462e+00	8.256127e-01
2.164603125074767e-03	2.535969e+00	8.585408e-01
2.174368750074766e-03	2.565279e+00	8.882377e-01
2.184134375074766e-03	2.591282e+00	9.145914e-01
2.193900000074766e-03	2.613879e+00	9.375027e-01
2.203665625074766e-03	2.632985e+00	9.568856e-01
2.213431250074766e-03	2.648525e+00	9.726670e-01
2.223196875074765e-03	2.660442e+00	9.847874e-01
2.237845312574765e-03	2.671427e+00	9.960080e-01
2.252493750074765e-03	2.674065e+00	9.987972e-01
2.267142187574765e-03	2.668335e+00	9.931315e-01
2.281790625074764e-03	2.654285e+00	9.790588e-01
2.291556250074764e-03	2.640352e+00	9.650624e-01
2.301321875074764e-03	2.622827e+00	9.474337e-01
2.311087500074764e-03	2.601775e+00	9.262391e-01
2.320853125074763e-03	2.577278e+00	9.015583e-01
2.330618750074763e-03	2.549428e+00	8.734844e-01
2.340384375074763e-03	2.518331e+00	8.421228e-01
2.350150000074763e-03	2.484106e+00	8.075917e-01
2.359915625074763e-03	2.446882e+00	7.700209e-01
2.364798437574762e-03	2.427190e+00	7.501395e-01
2.369681250074762e-03	2.406802e+00	7.295520e-01
2.374564062574762e-03	2.385737e+00	7.082779e-01
2.379446875074762e-03	2.364017e+00	6.863372e-01
2.384329687574762e-03	2.341661e+00	6.637506e-01
2.389212500074762e-03	2.318691e+00	6.405392e-01
2.394095312574762e-03	2.295129e+00	6.167250e-01
2.398978125074762e-03	2.270997e+00	5.923303e-01
2.408743750074761e-03	2.221115e+00	5.418921e-01
2.418509375074761e-03	2.169236e+00	4.894143e-01
2.433157812574761e-03	2.088107e+00	4.073073e-01
2.440830803646189e-03	2.043958e+00	3.626086e-01
2.448503794717618e-03	1.999260e+00	3.173343e-01
2.456176785789046e-03	1.954011e+00	2.714842e-01
2.463849776860475e-03	1.908212e+00	2.250585e-01
2.471522767931903e-03	1.861862e+00	1.780571e-01
2.479195759003332e-03	1.814962e+00	1.304801e-01
2.486868750074760e-03	1.767512e+00	8.232737e-02
2.491054017931902e-03	1.741655e+00	5.607744e-02
2.495239285789045e-03	1.715812e+00	2.983408e-02
2.499424553646188e-03	1.689982e+00	3.597296e-03
2.503609821503331e-03	1.664166e+00	-2.263292e-02
2.507795089360474e-03	1.638363e+00	-4.885656e-02
2.511980357217617e-03	1.612573e+00	-7.507362e-02
2.516165625074759e-03	1.586797e+00	-1.012841e-01
2.524536160789045e-03	1.535237e+00	-1.537363e-01
2.532906696503330e-03	1.484472e+00	-2.054125e-01
2.541277232217616e-03	1.434504e+00	-2.563126e-01
2.549647767931901e-03	1.385332e+00	-3.064366e-01
2.558018303646187e-03	1.336955e+00	-3.557846e-01
2.566388839360472e-03	1.289375e+00	-4.043566e-01
2.574759375074758e-03	1.242590e+00	-4.521524e-01
2.588710267931900e-03	1.166872e+00	-5.296325e-01
2.602661160789043e-03	1.096442e+00	-6.017818e-01
2.616612053646186e-03	1.031301e+00	-6.686003e-01
2.630562946503328e-03	9.714479e-01	-7.300880e-01
2.644513839360471e-03	9.168833e-01	-7.862449e-01
2.658464732217614e-03	8.676070e-01	-8.370710e-01
2.672415625074756e-03	8.236192e-01	-8.825663e-01
2.698922321503327e-03	7.607808e-01	-9.476957e-01
2.725429017931897e-03	7.238002e-01	-9.861252e-01
2.751935714360468e-03	7.126775e-01	-9.978548e-01
2.778442410789039e-03	7.274126e-01	-9.828845e-01
2.804949107217610e-03	7.680055e-01	-9.412143e-01
2.831455803646181e-03	8.344563e-01	-8.728442e-01
2.857962500074752e-03	9.267650e-01	-7.777742e-01
2.869820759003323e-03	9.751144e-01	-7.281466e-01
2.881679017931894e-03	1.026704e+00	-6.752657e-01
2.893537276860465e-03	1.081533e+00	-6.191313e-01
2.905395535789037e-03	1.139602e+00	-5.597437e-01
2.917253794717608e-03	1.200910e+00	-4.971026e-01
2.929112053646179e-03	1.265459e+00	-4.312082e-01
2.940970312574750e-03	1.333247e+00	-3.620604e-01
2.947945759003322e-03	1.373813e+00	-3.207178e-01
2.954921205431893e-03	1.414802e+00	-2.789621e-01
2.961896651860464e-03	1.456215e+00	-2.367933e-01
2.968872098289035e-03	1.498052e+00	-1.942114e-01
2.975847544717607e-03	1.540312e+00	-1.512163e-01
2.982822991146178e-03	1.582997e+00	-1.078081e-01
2.989798437574749e-03	1.626105e+00	-6.398683e-02
2.999564062574749e-03	1.686381e+00	-2.737544e-03
3.004446875074749e-03	1.716618e+00	2.797714e-02
3.009329687574749e-03	1.746766e+00	5.859371e-02
3.014212500074749e-03	1.776822e+00	8.911219e-02
3.019095312574748e-03	1.806788e+00	1.195326e-01
3.023978125074748e-03	1.836662e+00	1.498548e-01
3.028860937574748e-03	1.866447e+00	1.800790e-01
3.033743750074748e-03	1.896140e+00	2.102051e-01
3.042114285789034e-03	1.946800e+00	2.615888e-01
3.050484821503319e-03	1.996421e+00	3.119100e-01
3.058855357217605e-03	2.045004e+00	3.611685e-01
3.067225892931890e-03	2.092547e+00	4.093644e-01
3.075596428646176e-03	2.139053e+00	4.564977e-01
3.083966964360461e-03	2.184519e+00	5.025683e-01
3.092337500074747e-03	2.228947e+00	5.475763e-01
3.097220312574747e-03	2.253991e+00	5.729463e-01
3.102103125074747e-03	2.278503e+00	5.977771e-01
3.106985937574747e-03	2.302462e+00	6.220453e-01
3.111868750074747e-03	2.325844e+00	6.457280e-01
3.116751562574746e-03	2.348626e+00	6.688030e-01
3.121634375074746e-03	2.370788e+00	6.912485e-01
3.126517187574746e-03	2.392308e+00	7.130435e-01
3.131400000074746e-03	2.413166e+00	7.341673e-01
3.141165625074746e-03	2.452814e+00	7.743229e-01
3.150931250074746e-03	2.489584e+00	8.115641e-01
3.160696875074745e-03	2.523334e+00	8.457507e-01
3.170462500074745e-03	2.553937e+00	8.767542e-01
3.180228125074745e-03	2.581276e+00	9.044577e-01
3.189993750074745e-03	2.605247e+00	9.287571e-01
3.199759375074745e-03	2.625758e+00	9.495609e-01
3.209525000074744e-03	2.642732e+00	9.667907e-01
3.219290625074744e-03	2.656105e+00	9.803818e-01
3.233939062574744e-03	2.669302e+00	9.938376e-01
3.248587500074744e-03	2.674172e+00	9.988804e-01
3.263235937574743e-03	2.670671e+00	9.954677e-01
3.277884375074743e-03	2.658831e+00	9.836281e-01
3.287650000074743e-03	2.646351e+00	9.711001e-01
3.297415625074743e-03	2.630256e+00	9.549171e-01
3.307181250074742e-03	2.610606e+00	9.351401e-01
3.316946875074742e-03	2.587476e+00	9.118434e-01
3.326712500074742e-03	2.560956e+00	8.851147e-01
3.336478125074742e-03	2.531144e+00	8.550547e-01
3.346243750074742e-03	2.498155e+00	8.217764e-01
3.356009375074741e-03	2.462114e+00	7.854052e-01
3.365775000074741e-03	2.423159e+00	7.460778e-01
3.370657812574741e-03	2.402634e+00	7.253515e-01
3.375540625074741e-03	2.381437e+00	7.039425e-01
3.380423437574741e-03	2.359588e+00	6.818709e-01
3.385306250074741e-03	2.337107e+00	6.591576e-01
3.390189062574741e-03	2.314017e+00	6.358239e-01
3.395071875074740e-03	2.290339e+00	6.118918e-01
3.399954687574740e-03	2.266096e+00	5.873838e-01
3.409720312574740e-03	2.216006e+00	5.367329e-01
3.419485937574740e-03	2.163938e+00	4.840619e-01
3.434134375074740e-03	2.082563e+00	4.017031e-01
3.441807366146168e-03	2.038304e+00	3.568908e-01
3.449480357217597e-03	1.993509e+00	3.115167e-01
3.457153348289025e-03	1.948177e+00	2.655806e-01
3.464826339360453e-03	1.902309e+00	2.190827e-01
